,,,བསྐྱར་གསོ,,,བསྐྱར་གསོ,,,,བསྐྱར་བཟོ,,,,བསྐྱར་འཛུགས,,,,,,བསྐྱར་བསྐྲུན,,,,,,
,,,བསིལ་བ,,,བསིལ་བ,,,,,,བསིལ་དྲོད,,བསིལ་མོ།,,བསིལ་པོ,,,,བསིལ་རླུང,,བསིལ་བུ,,,,
,,,རྔ་,,,,,,,,,,,རྔ་སྒྲ,,,,རྔ་རྟགས,,རྔ་རྡུང,,,,,,
,,,རྔ་མ,,,རྔ་མ,,,,,,,,,,རྔ་སྤུ,,རྔ་རྟགས,,,,,,,,
,,,རྩེ་,,,རྩེ་མོ,,རྩེ་བ,,རྩེ་གྲུ,,,,,,,,རྩེ་འདེམས།,,རྩེ་གྲས,,,,,,
,,,རྩེ་མོ,,,རྩེ་མོ,,,,རྩེ་གྲུ,,,,,,,,,,,,,,,,
,,,རྩོད་,,,རྩོད་པ,,རྩོད་གཞི,,རྩོད་རྒྱུགས,,རྩོད་དབང,,རྩོད་གྲྭ,,རྩོད་ས,,རྩོད་རིགས,,རྩོད་སེམས,,རྩོད་ལྡན,,རྩོད་ཟླ,,
,,,རྫོགས་,,,རྫོགས་པ,,རྫོགས་རྒྱུ,,རྫོགས་ལྡན,,རྫོགས་སྐད,,རྫོགས་ས,,རྫོགས་ཚར,,རྫོགས་ཆེན,,རྫོགས་པ,,རྫོགས་ཚིག,,,,
,,,ལྕགས་,,,ལྕགས་ལམ,,ལྕགས་མདའ,,ལྕགས་སྒྲོག,,ལྕགས་ལེབ,,ལྕགས་གཞུ,,ལྕགས་ཐག,,ལྕགས་སྟག,,ལྕགས་ཕོར,,ལྕགས་སྒམ,,,,
,,,ལབ་,,,ལབ་པ,,ལབ་ཁུལ,,ལབ་མེད,,ལབ་ས,,ལབ་ལབ,,ལབ་ཀྱོག,,ལབ་བཞག,,ལབ་ཙང,,ལབ་ཙམ,,ལབ་ཤོག,,
,,,ལུག་,,,ལུག་རྫི,,ལུག་ཤ,,,,ལུག་མགོ,,ལུག་ཚིལ,,ལུག་ལོ,,ལུག་འཚོ,,ལུག་ལྤགས,,ལུག་ཕྲུག,,ལུག་གུ,,
,,,ལོག་,,,ལོག་པ,,ལོག་རྟོག,,ལོག་ཡིག,,ལོག་ཕེབས,,ལོག་ཀྱོག,,ལོག་སྤྱོད,,ལོག་ལོག,,ལོག་འགྲེལ,,ལོག་འཇལ,,ལོག་སྲོལ,,
,,,ཤུགས་,,,ཤུགས་རྐྱེན,,,,ཤུགས་ཚད,,ཤུགས་ཆེ,,ཤུགས་ཆེན,,ཤུགས་དྲག,,ཤུགས་རྒྱབ,,ཤུགས་རྩལ,,,,,,
