,,,མ་,,མ་ཟད,,མ་གཞི,,,,མ་ལག,,མ་རྩ,མ་དངུལ,,མ་མཐའ,མ་ཡིག,,མ་ཚད,,,,,,,,,,,,,,,,,,,,,,,,,མ་དཔེ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,མ་ཡུམ,,མ་རྩོམ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,མ་དེབ,,,,,,མ་ཁྱིམ,,,,མ་ལུས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,མ་རྒན
,,,ཕྱི་དྲོ,,,,,ཕྱི་དྲོ,,,,,ཕྱི་བོ,ཕྱི་པོ,ཕྱི་རབས,ཕྱི་སོག,,ཕྱི་ཉིན,,,,,,ཕྱི་མོ,,,,,,,ཕྱི་གོས,ཕྱི་དྲན,ཕྱི་སྒྲོམ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38/240,,,ཕྱི་,POST,ཕྱི་རྒྱལ,ཕྱི་ལོ,ཕྱི་མ,,,ཕྱི་རོལ,ཕྱི་ཕྱོགས,ཕྱི་ལུགས,,,,,ཕྱི་འབྲེལ,,ཕྱི་བརྡར,,ཕྱི་རུ,ཕྱི་གཟུགས,ཕྱི་སྒོ,,ཕྱི་མིག,ཕྱི་ཡུལ,ཕྱི་རས,ཕྱི་བྱེད,ཕྱི་འདྲེན,ཕྱི་འཁོར,,,,ཕྱི་ཚོང,,ཕྱི་མི,,ཕྱི་ཟླ,ཕྱི་གླིང,ཕྱི་སྣོད,ཕྱི་ངོས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37/913,,,བོད་,POST,བོད་པ,བོད་ཡིག,བོད་སྐད,བོད་ལྗོངས,བོད་མི,བོད་རིགས,བོད་གཞུང,བོད་ཁུལ,བོད་སྨན,བོད་ཡུལ,བོད་ཇ,བོད་ཁམས,བོད་ཁྱིམ,བོད་བརྒྱུད,བོད་ཟླ,བོད་ལུགས,བོད་ཕྲུག,བོད་ཟས,བོད་རང,བོད་ས,བོད་སོག,བོད་ལྷམ,བོད་རྒྱལ,བོད་ཕག,བོད་དོན,བོད་འབངས,,བོད་རྒྱུད,བོད་རག,བོད་གོས,བོད་བསྐྱོད,བོད་ཞྭ,བོད་རྒྱ,བོད་ཆང,བོད་ཤོག,བོད་བསྒྱུར,བོད་རྐྱང,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,སྐུ་མགྲོན,སྐུ་དྲག,,,,སྐུ་ཞབས,,སྐུ་དངོས,,སྐུ་གཞོགས,,,,སྐུ་འཁོར,སྐུ་སྲུང,,,,,,,,སྐུ་སྐྱེ,,སྐུ་ཚབ,,,,,,སྐུ་གཡོག,སྐུ་བདག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37/177,,,སྐུ་,POST,སྐུ་མཁྱེན,,,སྐུ་ཕྲེང,སྐུ་ངལ,སྐུ་མདུན,,སྐུ་གཟུགས,,སྐུ་དབང,,སྐུ་རྟེན,སྐུ་མདོག,སྐུ་གཤེགས,,,སྐུ་ཐོག,སྐུ་རིམ,སྐུ་རིང,སྐུ་ཚེགས,སྐུ་པར,,,,,,སྐུ་མཁར,,སྐུ་བརྙན,,སྐུ་དྲིན,,,སྐུ་ཤ,སྐུ་གདུང,སྐུ་ལུས,སྐུ་རླུང,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ལྷ་ས,,,,,,,,,,,,ལྷ་ལྡན,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36/243,,,ལྷ་,POST,,ལྷ་མོ,ལྷ་ཁང,ལྷ་སྐུ,ལྷ་གཞིས,ལྷ་སྡེ,ལྷ་ཀླུ,ལྷ་བསང,ལྷ་སྒྲུང,ལྷ་ཚོགས,ལྷ་འདྲེ,ལྷ་ཡུལ,,,ལྷ་གསོལ,,,,ལྷ་བཟོ,ལྷ་རིས,ལྷ་མཆོད,ལྷ་ཆོས,ལྷ་བྱ,ལྷ་ལུང,ལྷ་སྲིན,ལྷ་ཆེན,ལྷ་བྲིས,ལྷ་རྟེན,ལྷ་རྩེ,ལྷ་སྲུང,ལྷ་ལམ,,,ལྷ་རྫས,ལྷ་མི,ལྷ་ཟླ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,དེ་ལྟར,,དེ་ཉིད,དེ་ཙམ,,,དེ་མོ,དེ་རང,,,,,,,,,,,,,,,,,དེ་དགོང,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,དེ་ཚོ,,,དེ་དག,,,,,,,དེ་གྲས,དེ་ཚོར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
